name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,link_image
Intel Core i5-13500,234.99,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51axr2Y+xOL._AC_SX466_.jpg
Intel Pentium E2220,12.99,2,2.4,,Core,65,,https://m.media-amazon.com/images/I/31jRcrHFzSL._AC_.jpg
Intel Core i7-12700,289.97,12,2.1,4.9,Alder Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51NlTpm+7KL._AC_SX466_.jpg
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,,https://m.media-amazon.com/images/I/616VM20+AzL._AC_SX679_.jpg
Intel Core i5-10600K,174.99,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i5-6600K,89.99,4,3.5,3.9,Skylake,91,Intel HD Graphics 530,https://m.media-amazon.com/images/I/81SY-P8siHL._AC_SX466_.jpg
Intel Core Ultra 9 285,579.99,24,2.5,5.6,Arrow Lake,65,Intel Xe,https://m.media-amazon.com/images/I/51CxntPwYkL._AC_SX466_.jpg
Intel Core i7-4770K,99.0,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51WEL96lzkL._AC_SX466_.jpg
Intel Core i7-3770,98.69,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000,https://m.media-amazon.com/images/I/715GYG-GljL._AC_SX466_.jpg
Intel Core i7-10700,399.69,8,2.9,4.8,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71P3chRzgNL._AC_SX466_.jpg
AMD Ryzen 9 3950X,455.95,16,3.5,4.7,Zen 2,105,,https://m.media-amazon.com/images/I/61ISSSA+x+L._AC_SX466_.jpg
Intel Core i3-6100,29.99,2,3.7,,Skylake,51,Intel HD Graphics 530,https://m.media-amazon.com/images/I/71TAF2Z73uL._AC_SX466_.jpg
AMD Threadripper 3960X,1267.0,24,3.8,4.5,Zen 2,280,,https://m.media-amazon.com/images/I/711e-zssE2L._AC_SX466_.jpg
AMD Ryzen 7 2700,161.69,8,3.2,4.1,Zen+,65,,https://m.media-amazon.com/images/I/51XoylGq9iL._AC_SX466_.jpg
Intel Core i5-7500,63.0,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/71GY6jdAVHL._AC_SX466_.jpg
Intel Core i5-14500,238.09,14,2.6,5.0,Raptor Lake Refresh,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61LuKyXGbKL._AC_SX466_.jpg
Intel Core i7-9700,298.68,8,3.0,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/716gjmLvNuL._AC_SX466_.jpg
Intel Core Ultra 7 265,374.99,20,2.4,5.3,Arrow Lake,65,Intel Xe,https://m.media-amazon.com/images/I/51YCErsmDjL._AC_SX466_.jpg
Intel Core i5-11400,159.99,6,2.6,4.4,Rocket Lake,65,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/51A6E9HPocL._AC_SX466_.jpg
Intel Core i9-10850K,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61hr7fNaHRL._AC_SX466_.jpg
Intel Core i5-7400,,4,3.0,3.5,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61L3bJd5dyL._AC_SX466_.jpg
